id,label,description,image_url
zbus63qt,Acquired Immunodeficiency Syndrome (AIDS),"Thousands of images, texts and films connected to the global, intimate, personal and political story of HIV and AIDS.",https://iiif.wellcomecollection.org/image/b16692342_l0052826.jp2/info.json||https://iiif.wellcomecollection.org/image/b16763592_L0054224.JP2/info.json||https://iiif.wellcomecollection.org/image/b28669411_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16706274_l0052728.jp2/info.json
dujvfptt,,"Manuscripts, images and books from around the world that focus on the relationship between astrology and health through the ages.",https://iiif.wellcomecollection.org/image/V0024823/info.json||https://iiif.wellcomecollection.org/image/V0024937/info.json||https://iiif.wellcomecollection.org/image/L0031516/info.json||https://iiif.wellcomecollection.org/image/V0007630/info.json
u33bzxsb,Mental health,Items tracing the development of our understanding of mental health including personal expressions of mental illness.,https://iiif.wellcomecollection.org/image/L0032634/info.json||https://iiif.wellcomecollection.org/image/L0013143/info.json||https://iiif.wellcomecollection.org/image/L0019041/info.json||https://iiif.wellcomecollection.org/image/L0048986/info.json
euehm7ng,Sickle cell anaemia,"Items from the Black Cultural Archives, Brent Sickle Cell and Thalassaemia Centre, and the Sickle Cell Society reveal the impact of sickle cell disease.",https://iiif.wellcomecollection.org/image/b33149847_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/W0044697/info.json||https://iiif.wellcomecollection.org/image/W0044695/info.json||https://iiif.wellcomecollection.org/image/N0024944/info.json
ec77rqzq,,"From ancient spells to shaman rituals, our collection explores the historical role of magic in healing and culture.",https://iiif.wellcomecollection.org/image/V0025883/info.json||https://iiif.wellcomecollection.org/image/V0025869/info.json||https://iiif.wellcomecollection.org/image/V0025812EBC/info.json||https://iiif.wellcomecollection.org/image/V0025806ET/info.json
g6f9sn7t,Herbal medicine,"Explore a wealth of recipes, pamphlets, cultural stories and botanical treasures related to the use of plants in medicine.",https://iiif.wellcomecollection.org/image/b28515638_0006.jp2/info.json||https://iiif.wellcomecollection.org/image/b28515511_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28515663_0002.jp2/info.json||https://iiif.wellcomecollection.org/image/b28515882_0001.jp2/info.json
bun3pg62,,"Explore all aspects of childbirth, from medical and obstetric texts and illustrations to historical depictions of women in labour with their attendants.",https://iiif.wellcomecollection.org/image/L0033444/info.json||https://iiif.wellcomecollection.org/image/V0014957/info.json||https://iiif.wellcomecollection.org/image/V0011886/info.json||https://iiif.wellcomecollection.org/image/L0085865/info.json
cqm7r9pj,,"The medical use, cultural impact and complex legacy of opium is uncovered in striking artwork and rare books.",https://iiif.wellcomecollection.org/image/L0040971/info.json||https://iiif.wellcomecollection.org/image/L0010581/info.json||https://iiif.wellcomecollection.org/image/V0019171/info.json||https://iiif.wellcomecollection.org/image/M0018553/info.json
d4r983x6,Ageing,"Intimate portraits, personal diaries and everyday objects reveal diverse experiences and evolving perspectives on wellbeing across life's later stages.",https://iiif.wellcomecollection.org/image/V0011777/info.json||https://iiif.wellcomecollection.org/image/b20166527_L0077135.JP2/info.json||https://iiif.wellcomecollection.org/image/L0000676/info.json||https://iiif.wellcomecollection.org/image/L0030374/info.json
ce7rratv,,"First popularised in the 16th century, these interactive illustrations use ingenious layers or flaps to depict internal anatomy.",https://iiif.wellcomecollection.org/image/L0049657/info.json||https://iiif.wellcomecollection.org/image/L0055154/info.json||https://iiif.wellcomecollection.org/image/L0049668/info.json||https://iiif.wellcomecollection.org/image/L0055218/info.json
a4wyrvq2,,Discover how companies have tapped into the psychology of health and wellbeing to promote their products.,https://iiif.wellcomecollection.org/image/L0030505/info.json||https://iiif.wellcomecollection.org/image/L0041462/info.json||https://iiif.wellcomecollection.org/image/L0041461/info.json||https://iiif.wellcomecollection.org/image/L0031253/info.json
ky24m9en,,"Historical manuscripts on parchment, palm leaf and other materials, in languages including Latin, Sanskrit, Arabic, Persian and Chinese dialects.",https://iiif.wellcomecollection.org/image/L0030765/info.json||https://iiif.wellcomecollection.org/image/L0011467/info.json||https://iiif.wellcomecollection.org/image/L0018579/info.json||https://iiif.wellcomecollection.org/image/L0040138/info.json
hv3ueb5k,,"Caricatures and prints, many from the 18th and 19th centuries that make humorous social or political points on health-related topics.",https://iiif.wellcomecollection.org/image/V0019873/info.json||https://iiif.wellcomecollection.org/image/V0011672/info.json||https://iiif.wellcomecollection.org/image/V0010858/info.json||https://iiif.wellcomecollection.org/image/V0000135/info.json
qj5kj8rz,,"Maps reveal shifting views of the world and health, charting disease spread, global exploration and medical journeys.",https://iiif.wellcomecollection.org/image/V0013202/info.json||https://iiif.wellcomecollection.org/image/V0007604/info.json||https://iiif.wellcomecollection.org/image/V0013338/info.json||https://iiif.wellcomecollection.org/image/b1198210x_V0012880-TO-RA.jp2/info.json
rasp7aye,Medical Officer of Health (MOH) reports,"Annual MOH reports from the mid-19th century to the 1970s, giving statistical data about births, deaths and diseases.",https://iiif.wellcomecollection.org/image/L0046569/info.json||https://iiif.wellcomecollection.org/image/L0046552/info.json||https://iiif.wellcomecollection.org/image/L0046567/info.json||https://iiif.wellcomecollection.org/image/L0046553/info.json
byqnbpfc,,"From 16th-century plague warnings to bold HIV campaigns, posters reveal the power of graphic design to help shape public health messaging through time.",https://iiif.wellcomecollection.org/image/b28510367_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b1824015x_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/L0041572/info.json||https://iiif.wellcomecollection.org/image/b1585470x_0001.jp2/info.json
pestkwqm,,"Song sheets dating back to the 15th century weave health metaphors into political commentary, from satirical takes on medical sales to 19th century jingles.",https://iiif.wellcomecollection.org/image/L0078251/info.json||https://iiif.wellcomecollection.org/image/L0051638/info.json||https://iiif.wellcomecollection.org/image/L0078256/info.json||https://iiif.wellcomecollection.org/image/L0078298/info.json
nns7bsba,,"Our extensive collection of paintings explores human health all over the world, depicting illness, anatomy, traditions and medical practices.",https://iiif.wellcomecollection.org/image/V0043238EL/info.json||https://iiif.wellcomecollection.org/image/V0025246/info.json||https://iiif.wellcomecollection.org/image/V0017307/info.json||https://iiif.wellcomecollection.org/image/V0045727/info.json
e8kur96g,,"Poems in the collection give voice to personal experiences of health, healing and being human.",https://iiif.wellcomecollection.org/image/L0033064/info.json||https://iiif.wellcomecollection.org/image/L0076400/info.json||https://iiif.wellcomecollection.org/image/L0033063/info.json||https://iiif.wellcomecollection.org/image/b28681046_0001.jp2/info.json
gk2eca5r,,"Notes, letters and sketches document the lasting impact, through hygiene and data-driven reform, of Florence Nightingale (1820–1910) on healthcare worldwide.",https://iiif.wellcomecollection.org/image/V0004314/info.json
up98mqb8,Bryan Charnley,"Self-portraits, vivid paintings and diary notes by British artist Bryan Charnley (1949–1991) show the raw emotional and psychological landscape of mental illness.",https://iiif.wellcomecollection.org/image/b30496962_0001.JP2/info.json
usgkq8dj,Amedeo John Engel Terzi,Vivid medical and zoological drawings by the prolific illustrator and entomologist A J E Terzi (1872–1956).,https://iiif.wellcomecollection.org/image/V0022560/info.json||https://iiif.wellcomecollection.org/image/V0022571/info.json||https://iiif.wellcomecollection.org/image/V0022606EL/info.json||https://iiif.wellcomecollection.org/image/V0022544/info.json
c24wmx3e,,"A large collection from the personal library of British artist, author and socialist William Morris (1834–1896), including many works marked with his Kelmscott House bookplate.",https://iiif.wellcomecollection.org/image/L0021220/info.json||https://iiif.wellcomecollection.org/image/L0025889/info.json||https://iiif.wellcomecollection.org/image/L0050145/info.json||https://iiif.wellcomecollection.org/image/L0012490/info.json
umqzyxwk,,Burroughs Wellcome & Co. was a pharmaceutical firm founded in 1880 by Americans Henry Wellcome and Silas Burroughs.,https://iiif.wellcomecollection.org/image/L0032213/info.json||https://iiif.wellcomecollection.org/image/b28681113_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28681010_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/V0029795/info.json
q7c2xvdk,,"Works by the pioneering 19th-century photographer Julia Margaret Cameron (1815–1879), including portraits of renowned Victorian figures and allegorical scenes.",https://iiif.wellcomecollection.org/image/V0026543/info.json||https://iiif.wellcomecollection.org/image/V0027591/info.json||https://iiif.wellcomecollection.org/image/L0044662/info.json||https://iiif.wellcomecollection.org/image/b11624590_V0027587-LS-LH.jp2/info.json
w7yp9m3v,James Gardiner,Historian James Gardiner's collection of postcards and photographs exploring gender and sexuality in the 19th and 20th centuries.,https://iiif.wellcomecollection.org/image/B20588823_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20451982_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20594173_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20467503_0001.JP2/info.json
rtwg3paj,,Postcards and stamps from UK postal service company celebrating major anniversaries such as the birth of the NHS.,https://iiif.wellcomecollection.org/image/b1669479x_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739139_EPH_35_20_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739188_EPH_35_26_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739152_EPH_35_24_0001.jp2/info.json
d5ghwutb,,"Explore the history of Ethiopia through ancient manuscripts, early European accounts, compelling public health campaigns, and more.",https://iiif.wellcomecollection.org/image/B17526292.JP2/info.json||https://iiif.wellcomecollection.org/image/B17543216.JP2/info.json||https://iiif.wellcomecollection.org/image/B17526164_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/V0032669/info.json
a7gmt7ff,,"The kaleidoscope of innovation and adversity in science and medicine that shaped London’s past, from outbreaks to breakthroughs.",https://iiif.wellcomecollection.org/image/B16589907.JP2/info.json||https://iiif.wellcomecollection.org/image/V0013103/info.json||https://iiif.wellcomecollection.org/image/b18039388_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28641875_0001.jp2/info.json
caew98cx,,"Explore the history of China through photographs, early manuscripts on Chinese medicine and papers from the Opium Wars and the Cultural Revolution.",https://iiif.wellcomecollection.org/image/V0037167/info.json||https://iiif.wellcomecollection.org/image/V0047443/info.json||https://iiif.wellcomecollection.org/image/V0046761/info.json||https://iiif.wellcomecollection.org/image/V0046867EL/info.json
h8fuyw3g,,"Learn more about Sudan, from milestone moments in Sudanese medical research, to the archaeological excavations at Jebel Moya and the country's colonial history.",https://iiif.wellcomecollection.org/image/V0041698/info.json||https://iiif.wellcomecollection.org/image/L0031487/info.json||https://iiif.wellcomecollection.org/image/b29224548_0002_0102.jp2/info.json||https://iiif.wellcomecollection.org/image/b29224548_0002_0035.jp2/info.json
vcqcqced,,"Wellcome has a rich collection of historical materials relating to Japan and Japanese culture, including prints, paintings, manuscripts and books.",https://iiif.wellcomecollection.org/image/V0047457ER/info.json||https://iiif.wellcomecollection.org/image/V0037388/info.json||https://iiif.wellcomecollection.org/image/b16785447_l0054953.jp2/info.json||https://iiif.wellcomecollection.org/image/L0070289/info.json
u4y59z2p,,"Materials from South America reveal Indigenous experiences, colonial impacts, and the interaction between traditional and Western medicine.",https://iiif.wellcomecollection.org/image/L0076878/info.json||https://iiif.wellcomecollection.org/image/L0076881/info.json||https://iiif.wellcomecollection.org/image/L0076886/info.json||https://iiif.wellcomecollection.org/image/L0063398/info.json
zwu7frtk,,"Our South Asian collections include historical manuscripts in the region’s many languages, documents from the British Raj, and contemporary public health materials.",https://iiif.wellcomecollection.org/image/b16773317_l0054473.jp2/info.json||https://iiif.wellcomecollection.org/image/V0041330/info.json||https://iiif.wellcomecollection.org/image/b29223155_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/L0079451/info.json
nb2nvbwj,,"Journey through Nigeria's healthcare history using archival medical reports, breakthrough research, and colourful family-planning lithographs.",https://iiif.wellcomecollection.org/image/B18042922.JP2/info.json||https://iiif.wellcomecollection.org/image/B17719525.JP2/info.json||https://iiif.wellcomecollection.org/image/B17947571.JP2/info.json||https://iiif.wellcomecollection.org/image/B17720023.JP2/info.json
khvwwfrk,,"Mexico’s medico-cultural history is shown through paintings, artifacts, Aztec figures, legal documents and pharmaceutical advertisements.",https://iiif.wellcomecollection.org/image/b28887700_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28887955_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28887050_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/L0022111/info.json
